 Point Coordinate Energy Bond1 Bond2
  1  0.31696 -0.0044700  1.48185  0.00000
  2  0.28527 -0.0037900  1.48234  0.00000
  3  0.25358 -0.0031300  1.48281  0.00000
  4  0.22188 -0.0024800  1.48326  0.00000
  5  0.19018 -0.0018900  1.48369  0.00000
  6  0.15849 -0.0013500  1.48411  0.00000
  7  0.12679 -0.0008800  1.48451  0.00000
  8  0.09509 -0.0005000  1.48491  0.00000
  9  0.06340 -0.0002300  1.48531  0.00000
 10  0.03170 -0.0000600  1.48570  0.00000
 11  0.00000  0.0000000  1.48612  0.00000
 12 -0.03170 -0.0000600  1.48650  0.00000
 13 -0.06340 -0.0002300  1.48690  0.00000
 14 -0.09509 -0.0005200  1.48730  0.00000
 15 -0.12679 -0.0009100  1.48770  0.00000
 16 -0.15849 -0.0014000  1.48810  0.00000
 17 -0.19018 -0.0019800  1.48851  0.00000
 18 -0.22188 -0.0026400  1.48891  0.00000
 19 -0.25358 -0.0033500  1.48935  0.00000
 20 -0.28528 -0.0041000  1.48978  0.00000
 21 -0.31697 -0.0048800  1.49022  0.00000
